"id","nombre","descripcion","precio_base","precio_oferta","descuento_porcentaje","oferta_activa","stock","estado","categoria_id","empresa_id","created_at","updated_at"
"1","Portátil - ASUS Zenbook 14 OLED UX3405MA-PZ907W, 14"" 3K, Intel® Core™ Ultra 9 185H, 16 GB RAM, 1 TB SSD, Arc™ Onboard Graphics, Windows 11 Home","Descubre una nueva dimensión con el portátil ASUS Zenbook 14 OLED, un ultraligero que redefine la elegancia y la sofisticación. Este dispositivo de alta gama no solo eleva tu productividad y entretenimiento, sino que también destaca por su diseño de calidad superior, pensado para ofrecer un rendimiento excepcional y una durabilidad insuperable. Este exclusivo portátil es una apuesta segura, resistente y confiable que maximiza cada jornada con su batería de larga duración y potencia de primer nivel gracias al procesador Intel® Core™ Ultra 9 y los gráficos Intel Arc™. Disfruta de una conectividad completa con todos los puertos esenciales y sumérgete en la impactante pantalla táctil ASUS OLED, complementada por un sonido potente y envolvente de alta calidad.","1156.20","1032.23","11","1","100","activo","7","1","2025-05-15 20:04:35","2025-05-15 20:04:35"
"2","Monitor LG UltraGear 27GS50F-B 27"" LED VA FullHD 180Hz FreeSync","Monitor gaming LG UltraGear™ FHD de 27” y 180 Hz con un tiempo de respuesta MBR de 1 ms. Disfruta de una experiencia visual más inmersiva y con colores vibrantes gracias a NTSC 72%. La tecnología AMD FreeSync minimiza la fragmentación de la imagen disfrutando de movimientos más fluidos.","164.46","98.35","40","1","200","activo","7","1","2025-05-15 20:05:49","2025-05-15 20:05:49"
"3","Disco Duro Samsung 990 Pro 1TB Disco SSD 7450MB/S NVMe PCIe 4.0 M.2 Gen4","Descubre el potente rendimiento con PCIe 4.0 y experimenta velocidades de vértigo para vencer al contrincante. La regulación térmica del controlador Samsung ofrece una alta eficiencia energética manteniendo el máximo rendimiento y altas velocidades.","130.64","94.02","28","1","100","activo","7","1","2025-05-15 20:07:06","2025-05-15 20:07:06"
"4","Memoria RAM Kingston FURY Beast DDR4 3200 MHz 16 GB CL16","La memoria para PC FURY Beast DDR4 de Kingston ofrece un potente aumento de rendimiento para juegos, edición de vídeo y renderización con velocidades de hasta 3733 MHz. Esta rentable actualización está disponible en velocidades de 2666 MHz a 3733 MHz, con latencias de CL15 a 19, capacidades de 4 GB a 32 GB en módulos individuales y de 8 GB a 128 GB en kits. Su overclocking automático Plug N Play a velocidades de 2666 MHz está disponible en Intel XMP y Ryzen. El módulo FURY Beast DDR4 se mantiene fresco gracias a su elegante y delgado disipador de calor. Probada al 100% y garantizada de por vida, esta actualización es muy fácil y sin problemas para tu sistema Intel o AMD.","27.26",NULL,NULL,"0","98","activo","7","1","2025-05-15 20:08:05","2025-05-15 20:08:05"
"5","Tarjeta Gráfica MSI GeForce RTX 4060 Ti VENTUS 2X BLACK OC 8GB GDDR6 DLSS3","Las GPU NVIDIA® GeForce RTX® serie 40 son más que rápidas para jugadores y creadores. Cuentan con la tecnología de la arquitectura ultra eficiente NVIDIA Ada Lovelace, que ofrece un salto espectacular tanto en rendimiento como en gráficos con tecnología de IA. Disfruta de mundos virtuales realistas con trazado de rayos y juegos con FPS ultra altos y la latencia más baja. Descubre nuevas y revolucionarias formas de crear contenido y una aceleración de flujo de trabajo sin precedentes.","371.82",NULL,NULL,"0","100","activo","7","1","2025-05-15 20:09:12","2025-05-15 20:09:12"
"6","Procesador AMD Ryzen 7 5700X 3.4GHz Box sin Ventilador","Cuando cuentas con la arquitectura de procesadores de escritorio más avanzada del mundo para jugadores y creadores de contenido, las posibilidades son infinitas. Ya sea que juegues los juegos más recientes, diseñes el próximo rascacielos o proceses datos, necesitas un procesador poderoso que pueda dar respuesta a todas estas demandas, y más. Sin lugar a dudas, los procesadores para computadoras de escritorio AMD Ryzen™ serie 5000 elevan el nivel de expectativa para jugadores y artistas por igual.","291.74","128.92","56","1","300","activo","7","1","2025-05-15 20:10:14","2025-05-15 20:10:14"
"7","Logitech G Pro X 60 Lightspeed Teclado Inalámbrico Gaming Mecánico RGB TKL Negro","Diseñado con los mejores deportistas de esports del mundo, PRO X 60 es el primer teclado 60% de Logitech G. Toma el control de cada tecla en G HUB con KEYCONTROL y 5 capas personalizables para el centro de mando insuperable. Potencia la velocidad y fiabilidad con el rendimiento de la tecnología inalámbrica LIGHTSPEED. Control compacto. Sin compromisos.","119.83",NULL,NULL,"0","200","activo","7","1","2025-05-15 20:11:09","2025-05-15 20:11:09"
"8","Ratón gaming - Razer Deathadder Essential, Por cable, 6.400 ppp, 5 Teclas, USB, Negro","El ratón gaming Razer Deathadder Essential de color negro, tiene la forma ergonómica clásica que ya ha distinguido a todos los representantes anteriores de la serie Razer DeathAdder. La carcasa elegante e inconfundible ofrece una comodidad de uso óptima, para que pueda ofrecer un rendimiento al más alto nivel incluso durante largas maratones de juego.","20.65","16.52","20","1","400","activo","7","1","2025-05-15 20:12:14","2025-05-15 20:12:14"
"9","Logitech C920s Pro Webcam Full HD 1080p/30fps con Corrección de Iluminación Automática","Ofrezca su mejor imagen en videoconferencias y grabe sofisticados vídeos con la cámara Web C920s. Ofrece vídeo Full HD (1080p a 30 fps) y nítido sonido estéreo con todas las aplicaciones de vídeo más populares.","98.35","49.58","50","1","99","activo","7","1","2025-05-15 20:13:22","2025-05-16 22:59:09"
"10","Blue Microphones Yeti Micrófono USB Plata para Grabación y Transmisión en PC","Yeti es un micrófono USB óptimo, con un nítido y potente sonido con calidad de difusión para podcasts, producciones de YouTube, streaming de juegos, Skype y música. La tecnología patentada de tres cápsulas de Yeti posibilita que los patrones de captación cardioide, omnidireccional, bidireccional y estéreo ofrezcan una flexibilidad increíble que permite grabar y hacer streaming de formas que normalmente requerirían varios micrófonos.
Yeti dispone además de controles de estudio para el volumen de los auriculares, la selección de patrones, el silenciamiento instantáneo y la ganancia del micrófono que ponen en tus manos el proceso de grabación y streaming. Móntalo en unos segundos con la base de sobremesa incluida o conéctalo directamente a una base o brazo de micrófono.","115.69","71.07","39","1","100","activo","7","1","2025-05-15 20:14:26","2025-05-15 20:14:26"
"11","Hub USB C, 8 en 1 Hub USB 3.0 con puerto USB C, puertos USB 2.0 y USB 3.0","Hub multifuncional: el concentrador tipo USB-C tiene múltiples diseños de puertos, que pueden conectar y expandir diferentes dispositivos según sus necesidades.","9.08",NULL,NULL,"0","100","activo","7","1","2025-05-15 20:15:27","2025-05-15 20:15:27"
"12","AiTodos® Soporte para Computadora Portatil, Aleación de Aluminio, Antideslizante, Soporte Portátil Plegable, Ventilación y Disipación de Calor, Ajuste de 6 Engranajes.","【Soporte Portatil: Ajuste 6 Velocidades】Se puede usar una altura y ángulo cómodos, diseño ergonómico, fácil de ver y escribir, corrigiendo la postura sentada, reduciendo la tensión del cuello o el dolor de espalda.","9.58",NULL,NULL,"0","99","activo","8","1","2025-05-15 20:16:30","2025-05-16 22:59:09"
"13","MARSGAMING MNBC2, Base Refrigeradora y Stand para Portátiles hasta 17.3”, Iluminación LED Roja, 5X Ventiladores UA5, Regulable 6 Posiciones, Estructura Acero, Rejilla Aluminio, 2X USB 2.0, Negro","BASE REFRIGERADORA Y STAND PORTÁTIL: Mantén tu ordenador portátil refrigerado con la base MNBC2. Juega sin preocupaciones gracias a la potencia de esta base refrigeradora diseñada especialmente para portátiles gaming de gran potencia","15.28",NULL,NULL,"0","100","activo","8","1","2025-05-15 20:17:34","2025-05-15 20:17:34"
"14","Auriculares inalámbricos - Sony WH-1000XM5B, Cancelación ruido (Noise Cancelling), 30h, Hi-Res, Carga Rápida, Con Asistente, Bluetooth, Diadema, Negro","Los WH-1000XM5 redefinen la escucha sin distracciones. Gracias a sus dos procesadores, sus ocho micros y su unidad de diafragma, no es de extrañar que la serie 1000XM5 se haya posicionado como el mejor en su categoría en los premios Xataka, What Hifi y EISA.","288.43",NULL,NULL,"0","100","activo","4","1","2025-05-15 20:19:19","2025-05-15 20:19:19"
"15","TP-Link Tapo P100 Mini Smart Wifi Enchufe Inteligente","El socio inteligente superior para pequeños electrodomésticos. Tapo P100 está construido pequeño para dejar abiertos los enchufes adyacentes, lo que lo hace conveniente para el uso diario.","9.91","8.26","17","1","70","activo","3","1","2025-05-15 20:20:32","2025-05-15 20:20:32"
"16","Tuya Zigbee Gateway Hub - Bridge WiFi Smart Home, centro de control domótico remoto Smart Home para todos los productos Tuya ZigBee, compatible con Alexa Google Assistant y Smart Life App (Gateway)","Controlable a través de la aplicación: el concentrador ZigBee es un dispositivo necesario para todos los dispositivos inteligentes ZigBee, es más estable y seguro que el uso de un sistema Wi-Fi. Con este concentrador, también puede controlar todos sus productos Tuya (incluidos enchufes, sensores PIR, cerraduras, sensores de agua, cortinas eléctricas, etc.) a través de la aplicación Tuya Smart/Smart Life incluso cuando no esté en casa.","20.40",NULL,NULL,"0","80","activo","3","1","2025-05-15 20:21:58","2025-05-15 20:21:58"
"17","Smartwatch - Xiaomi Watch S3, AMOLED, Bluetooth, Hasta 15 días, HyperOS, Negro","El Xiaomi Watch S3 se inspira en los relojes tradicionales y está fabricado con materiales de primera calidad que ofrecen un tacto accesible y exquisito, lo que pone de manifiesto su extraordinario estilo en cada diseño.
Después de la instalación, el bisel puede cambiar automáticamente entre pantallas exclusivas para el reloj y reproducir efectos de sonido dinámicos. Sentirás que estás activando un mecanismo delicado que ofrece una experiencia inigualable.","123.96","82.64","33","1","150","activo","5","1","2025-05-15 20:23:19","2025-05-15 20:23:19"
"18","TV Samsung UE55DU7172U 55"" LED UltraHD 4K HDR10","Televisión Samsung UE55DU7172U con tecnología PurColor permite que su televisor muestre una amplia gama de colores para un rendimiento de imagen óptimo, de modo que siempre verá colores y detalles sorprendentes.","495.04","296.69","40","1","120","activo","3","2","2025-05-15 20:25:22","2025-05-15 20:25:22"
"19","Microondas con grill - LG MH6042DW, 700 W, 2 niveles, Panel táctil, 20 l, Blanco","El microondas 2 en 1 LG MH6042DW en color blanco es un microondas aparentemente sencillo, pero de lo más completo, puesto que tiene doble función: microondas y grill. Su panel táctil te permitirá escoger fácilmente la función que mejor se ajusta a tus necesidades sin necesidad de complicados menús.","98.35",NULL,NULL,"0","75","activo","3","2","2025-05-15 20:26:20","2025-05-15 20:26:20"
"20","Robot aspirador - Xiaomi Vacuum S20, 45W, WiFi, Navegación láser, Control por App, Blanco","Consigue el mejor aspirado y fregado más eficientes que ahorran tiempo y energía con el robot aspirador Xiaomi Vacuum S20.","165.28","114.88","30","1","60","activo","3","2","2025-05-15 20:27:37","2025-05-15 20:27:37"
"21","Cafetera de cápsulas - De'Longhi ENV90.B Vertuo Pop + Travel Mug para cápsulas Nespresso Vertuo, 2.6 bar, 0.56 L, 1.250 W, Bluetooth, Wi-Fi, Negro","Descubre una nueva forma de disfrutar el café con la cafetera de cápsulas Nespresso® De'Longhi Vertuo Pop ENV90.B. Compacta, moderna y llena de personalidad, esta máquina transforma cada taza en un momento especial.","82.64","65.29","21","1","40","activo","3","2","2025-05-15 20:28:42","2025-05-15 20:28:42"
"22","Oral-B Pro 3 3000 Cepillo de Dientes Eléctrico con Mango Recargable y 2 Cabezales","Elimina hasta un 100 % más de placa, incluso en las zonas de difícil acceso, para unas encías más sanas en comparación con un cepillo manual con la tecnología 3 en 1 de limpieza profunda de Oral-B","40.22",NULL,NULL,"0","20","activo","4","2","2025-05-15 20:29:57","2025-05-15 20:29:57"
"23","Afeitadora - Philips S5000 S5466/17, Afeitadora eléctrica, Seco y Mojado, Sensor barba, Soporte de carga, Cortapatillas","La afeitadora Philips Shaver serie 5000 S5466/17 aporta comodidad a tu aseo matutino. Su uso es intuitivo gracias al cabezal totalmente flexible y a su empuñadura ergonómica. La apertura con un solo toque permite limpiarla fácilmente en cuestión de segundos.","98.35","52.89","46","1","90","activo","4","2","2025-05-15 20:31:02","2025-05-15 20:31:02"
"24","Báscula inteligente - Xiaomi Body Composition Scale S400, IMC, Alta precisión, Control por App, Bluetooth, Blanco","Mi Body Composition Scale S400 es la báscula inteligente Xiaomi con tecnología BIA de doble frecuencia que mide de forma precisa 25 índices de salud con la que podrás controlar todos los aspectos que necesitas.","24.79","16.52","33","1","80","activo","4","2","2025-05-15 20:32:07","2025-05-15 20:32:07"
"25","Masajeador de Cuello y Hombros con Función de Calor, Masajeador Cervical con 3D Rotación y Masaje de Amasamiento Shiatsu Intensidad Ajustable","8 Cabezales de Masaje Bidireccionales: Esta manta de masaje simula un masaje de manos humanas. Los 8 cabezales de masaje están bien distribuidos y el control de movimiento bidireccional incorporado le ofrece una experiencia de masaje uniforme y cómoda cuando se enciende. Además, el sistema de protección contra el sobrecalentamiento y la función de desconexión automática de 15 minutos le permiten disfrutar de su masaje con tranquilidad.","26.10",NULL,NULL,"0","30","activo","4","2","2025-05-15 20:33:01","2025-05-15 20:33:01"
"26","Pulsera de actividad - Xiaomi Smart Band 9, 1.62"" AMOLED","A tu estilo, a tu ritmo, con la pulsera de actividad Xiaomi Smart Band 9 podrás monitorear tus entrenamientos con mas de 150 modos deportivos y tu salud, con seguimiento del sueño y monitor cardiaco.","33.05","28.92","12","1","120","activo","5","2","2025-05-15 20:34:05","2025-05-15 20:34:05"
"27","Pulsómetro - Polar H10, M-XXL, Negro","Si lo que tú deseabas era realizar un entrenamiento de máximo rendimiento, vete preparando porque Polar tiene algo para ti. El pulsómetro H10 M-XXL es compatible con diferentes aplicaciones de fitness y máquinas de gimnasio para que optimizar tu actividad física al máximo. Puedes guardar tu frecuencia cardíaca en el agua y enviar tus datos a la aplicación móvil.","74.30","65.21","12","1","20","activo","5","2","2025-05-15 20:35:13","2025-05-16 22:55:03"
"28","Consola - Nintendo Switch OLED, 7"", Joy-Con, 64 GB, Blanco","Disfruta de los juegos en el formato de la consola Nintendo Switch OLED en color blanco, pensada para el hogar con la diferencia de ser también portátil para llevarte tus partidas a todas partes. La innovación en el formato del diseño con pantalla OLED y su gran flexibilidad te alucinará.","288.43","280.17","3","1","200","activo","1","2","2025-05-15 20:36:24","2025-05-16 22:54:46"
"29","DJI Mini 4K, dron con cámara 4K UHD para adultos","Menos de 249 g, Certificación de clase C0 - Gracias a su peso ultraligero, el Mini 4K puede volar en las categorías A1 y A3. Los operadores no necesitan realizar ningún test.","247.11",NULL,NULL,"0","140","activo","6","2","2025-05-15 20:37:27","2025-05-15 20:37:27"
"30","IKUPER Technic Robot para Niños de 6 a 12 Años, Juego Robótico Programable 6 en 1 con App y Control Remoto","【Construible en 6 Estilos de Robots】¡Construye tu propio set de robots con el juguete robot IKUPER 6en1! Se puede montar en seis modelos de robots únicos: Gran Robot Pared, Pequeño Robot Pared, Coche Acrobático, Robot Triángulo, Dinosaurio y Robot de Un Ojo. Cada diseño ofrece una experiencia de construcción distinta, fomentando la creatividad y proporcionando horas de diversión para los niños.","57.02",NULL,NULL,"0","50","activo","6","2","2025-05-15 20:38:33","2025-05-15 20:38:33"
"31","TP-Link Archer AX53 Router Wi-Fi 6 Gigabit de Doble Banda AX3000","La próxima generación de WiFi está aquí con el router Archer AX53. El Wi-Fi 6 (802.11ax) podría resultar ser el avance más significativo en el desarrollo del WiFi, ofreciendo un gran impulso en velocidad y capacidad total. La adopción generalizada del Wi-Fi 6 está cada vez más cerca con la disponibilidad de más y más dispositivos AX. ¡Es el momento adecuado para actualizar tu router a la nueva generación de WiFi!","74.37","45.45","39","1","65","activo","1","2","2025-05-15 20:39:37","2025-05-16 22:54:28"
"32","Disco duro externo 2TB - ‎Seagate STKN2000400 Expansion","La configuración es sencilla, simplemente conecta un solo cable USB y estarás listo para comenzar. La unidad se alimenta mediante el cable USB, por lo que no es necesaria una fuente de alimentación externa. Además, el sistema operativo Windows® o Mac lo reconoce automáticamente, por lo que no es necesario instalar ningún software ni configurar nada. Guardar archivos es fácil.","82.64","61.98","25","1","140","activo","1","2","2025-05-15 20:40:39","2025-05-16 22:54:18"
"33","Reproductor multimedia - Xiaomi Mi TV Stick, 1080P, 1GB RAM, 8GB ROM, Android TV","El Xiaomi Mi TV Stick ahora incluye el mando por voz con Asistente de Google. Controla tu TV, barra de sonido y receptor compatibles con los botones específicos para encender el dispositivo, silenciarlo y ajustar el volumen. Reproduce y controla contenido con el nuevo mando por voz Alexa. Disfruta de tus contenidos favoritos de Prime Video, Netflix, YouTube, DAZN, Atresplayer, RTVE A la carta, Movistar+ y otros servicios (es posible que se requieran suscripciones separadas).","41.31","33.05","20","1","95","activo","1","2","2025-05-15 20:41:59","2025-05-16 22:54:07"
"34","Impresora multifunción - HP DeskJet 2821e, Serie 2820, Wi-Fi®, USB, Color, Copia, Escáner, Recuperación automática, Instant Ink, HP +, Blanco","Imprime, escanea y copia sin esfuerzo con la impresora doméstica HP DeskJet 2821e. Es inalámbrica y compacta, junto con la aplicación de impresión más fácil de usar. Desde etiquetas hasta recetas, disfruta de una experiencia fluida gracias a la empresa de impresoras N.º 1 del mundo","49.50","40.48","18","1","30","activo","8","2","2025-05-15 20:43:29","2025-05-15 20:43:29"
"35","Casio Calculadora técnica ClassWiz FX-991DE X","Casio presenta la nueva calculadora científica técnica FX-991DE X de la serie ClassWiz con numerosas novedades. El popular FX-991DE Plus se ha desarrollado una vez más y está equipado con funciones innovadoras como la función QR Code.","36.28",NULL,NULL,"0","40","activo","8","2","2025-05-15 20:44:39","2025-05-15 20:44:39"
"36","SLATOR Lámpara Escritorio LED, Flexo de Escritorio","Lampara de escritorio Eye Caring : Estas lámparas de mesa táctiles están diseñadas para ser suaves, estables y no parpadear. La lámpara de escritorio de oficina adopta un diseño de fuente de luz led de superficie que podría eliminar perfectamente el deslumbramiento, la fatiga visual, y mejorar los efectos visuales.","14.17",NULL,NULL,"0","45","activo","8","2","2025-05-15 20:45:49","2025-05-15 20:45:49"
"37","Casio Colección Reloj Unisex Adultos A168WA","Todo fue mejor tiempo atrás - y es bonito que CASIO nunca haya olvidado sus raíces y siempre haya disfutado el diseño retro. El culto por la forma, función y color del primer reloj digital desde los años del 1980 está más actualizado que nunca gracias a los relojes de CASIO Collection. Con sus tonos cálidos de oro, acero inoxidable fresco y plástico negro, estos iconos de diseño atemporal pueden ser combinados perfectamente con el estilo actual y las tendencias de fiesta. Es bueno saber que algunas cosas nunca cambian.","27.10",NULL,NULL,"0","74","activo","2","2","2025-05-15 20:46:43","2025-05-15 20:46:43"
"38","Gafas de realidad virtual - Meta Quest 3s, 128 GB, 8GB RAM, Snapdragon XR2 Gen 2, 1832×1920p, 2.5h Autonomía, Blanco","Descubre las Gafas de Realidad Virtual Meta Quest 3S de 128 GB, donde la realidad y la fantasía se entrelazan para llevarte más allá de lo imaginable. Con una resolución y color que superan en 4,5 veces a las Quest 2, tu mundo virtual cobra vida con una claridad y viveza excepcionales.","271.90",NULL,NULL,"0","50","inactivo","1","2","2025-05-15 20:48:18","2025-05-17 14:12:42"
"39","Jeans 515™ Slim Taper","Estos jeans 515™ Slim Taper son el punto intermedio entre unos ajustados y unos entallados normales. Como probablemente habrás deducido por su nombre, presentan corte estrecho en el muslo y va entallándose hasta el tobillo. ¿El resultado final? Un jean superversátil que puedes combinar de cualquier forma.","65.29",NULL,NULL,"0","80","activo","2","3","2025-05-15 20:55:58","2025-05-15 20:55:58"
"40","Camisa de lino de alta calidad para hombre","Camisa ligera y transpirable con botones, de algodón y lino, Color sólido, 100%, 2025.","17.36","6.77","61","1","80","activo","2","3","2025-05-15 21:02:59","2025-05-15 21:04:24"
"41","Vestido midi viscosa estampado floral","Vestido midi con corte evasé y de mangas corta en tejido de viscosa, con un lindo estampado allover floral en tonos claros. Es tan bonito y cómodo, que no vas a querer quitártelo en todo el día ¡Como dormir en las nubes!","33.05","9.91","70","1","140","activo","2","3","2025-05-15 21:06:12","2025-05-15 21:06:12"
"42","Sudadera oversize capucha cremallera","Sudadera oversize con capucha, bolsillo delantero tipo canguro, cierre de cremallera y confeccionada en algodón.","16.52",NULL,NULL,"0","100","activo","2","3","2025-05-15 21:07:09","2025-05-15 21:07:09"
"43","Gabon Winter Moss","Gabon es una chaqueta impermeable corta de primavera inspirada en el estilo clásico bomber, con detalles como bolsillos laterales con cremalleras impermeables, puños y dobladillo de canalé, y una cremallera impermeable de doble cursor en la parte frontal. Confeccionada en nuestro exclusivo tejido Softshell ligero y transpirable, cuenta con todas las costuras selladas para una protección superior. Una capucha desmontable completa el look con estilo.","123.14",NULL,NULL,"0","180","activo","2","3","2025-05-15 21:08:24","2025-05-15 21:08:24"
"44","Zapatilla Nike Air Force 1 07 Mujer","La zapatilla Nike Air Force 1 de cuero es una toma moderna en el zapato más emblemático del baloncesto. Cuenta con una zona Air-Sole encapsulada en una entresuela de espuma inyectada para un amortiguamiento ligero y flexible.","99.17","79.33","20","1","200","activo","2","3","2025-05-15 21:09:34","2025-05-15 21:09:34"
"45","BOTINES DE PIEL CON CUÑA Y CREMALLERA ARENA LIDIA","Botines de serraje con cuña de 5,5 cm y plataforma de 2 cm. Corte superior en V y apertura lateral con cremallera interior para facilitar el calce. Plantilla y forro de microfibra con acabado confort aterciopelado. Piso antideslizante y flexible. Elaborados 100% en España.","70.25","49.55","29","1","100","activo","2","3","2025-05-15 21:10:51","2025-05-15 21:10:51"
"46","Zapatillas abiertas velour lazo","Zapatillas abiertas con base acolchada de velur en tonos rosas y pala con diseño de lazo en color lila. Súper cómodas, hechas para que tus pies descansen.","16.52",NULL,NULL,"0","60","activo","2","3","2025-05-15 21:39:06","2025-05-15 21:39:06"
"47","Zapato Oxford para hombre Chocolate Patinado con suela de cuero - WINFORD","El Winford es un Oxford de hombre tiene una punta recta con 5 ojales construido sobre una forma con carácter. El estilo y la comodidad son las ventajas de este zapato.
Fabricado con una construcción Blake y becerro boxcalf italiano patinado a mano sobre una suela de cuero, con vira de piel, este modelo quedará elegante en todas las circunstancias.
Ojales invisibles y cordones redondos encerados de algodón tono sobre tono.
Los Winford están totalmente forrados de piel de vaca.","106.61",NULL,NULL,"0","40","activo","2","3","2025-05-15 21:41:56","2025-05-15 21:41:56"
"48","Mochila de montaña y senderismo 23L Quechua NH500 Rolltop. Equipaje de mano","Esta mochila de senderismo se ha diseñadp para acompañar tus rutas de senderismo y todos tus planes (formato maleta de cabina).","33.05","31.40","5","1","50","activo","5","3","2025-05-15 21:43:41","2025-05-15 21:43:41"
"49","Gafas de sol Hawkers ONE LS RODEO","Las ONE LS Rodeo son unas gafas de sol de diseño clásico con aros cuadrados y patillas finas. Este modelo negro brillante tiene lentes polarizadas de color gris oscuro.","33.05",NULL,NULL,"0","69","activo","2","3","2025-05-15 21:45:31","2025-05-16 22:59:09"
